LISTA ZAKUPÓW

TME:
8x	Dystanse 75mm (dla nas)
4x	Dystanse 20mm
1x	ATtiny24
2x	SCT2024
1x	Kwarc 8MHz
1x	Gniazdo 5,5/2,5
1x	Dwurzędowa listwa goldpin


TME lub AliExpress:
1x	Ładowarka 15V 2A wtyk 5,5/2,5
4x	Microswitch

Drobne części SMD, które być może masz, a jak nie to kupimy w BNS:
2x	Rezystor około 500ohm do ustawienia prądu wyświetlaczy (trzeba dobrać eksperymentalnie)
4x	Rezystor 430ohm
4x	Rezystor 750ohm 0,25W
1x	Rezystor 10kohm
2x	Kondensator 22pF
4x	Kondensator 100nF
2x	Kondensator 1uF
1x	Kondensator 10uF
1x	Kondensator 47uF
1x	Dławik
